Re-sort ID,ERCC ID,subgroup,concentration in Mix 1 (attomoles/ul),concentration in Mix 2 (attomoles/ul),expected fold-change ratio,log2(Mix 1/Mix 2),,ERCC ID,
1,ERCC-00130,A,30000,7500,4,2,4.477121255,ERCC-00130,4.477121255
2,ERCC-00004,A,7500,1875,4,2,3.875061263,ERCC-00004,3.875061263
3,ERCC-00136,A,1875,468.75,4,2,3.273001272,ERCC-00136,3.273001272
4,ERCC-00108,A,937.5,234.375,4,2,2.971971276,ERCC-00108,2.971971276
5,ERCC-00116,A,468.75,117.1875,4,2,2.670941281,ERCC-00116,2.670941281
6,ERCC-00092,A,234.375,58.59375,4,2,2.369911285,ERCC-00092,2.369911285
7,ERCC-00095,A,117.1875,29.296875,4,2,2.068881289,ERCC-00095,2.068881289
8,ERCC-00131,A,117.1875,29.296875,4,2,2.068881289,ERCC-00131,2.068881289
9,ERCC-00062,A,58.59375,14.6484375,4,2,1.767851294,ERCC-00062,1.767851294
10,ERCC-00019,A,29.296875,7.32421875,4,2,1.466821298,ERCC-00019,1.466821298
11,ERCC-00144,A,29.296875,7.32421875,4,2,1.466821298,ERCC-00144,1.466821298
12,ERCC-00170,A,14.6484375,3.66210938,4,2,1.165791302,ERCC-00170,1.165791302
13,ERCC-00154,A,7.32421875,1.83105469,4,2,0.8647613068,ERCC-00154,0.8647613068
14,ERCC-00085,A,7.32421875,1.83105469,4,2,0.8647613068,ERCC-00085,0.8647613068
15,ERCC-00028,A,3.66210938,0.91552734,4,2,0.5637313117,ERCC-00028,0.5637313117
16,ERCC-00033,A,1.83105469,0.45776367,4,2,0.262701316,ERCC-00033,0.262701316
17,ERCC-00134,A,1.83105469,0.45776367,4,2,0.262701316,ERCC-00134,0.262701316
18,ERCC-00147,A,0.91552734,0.22888184,4,2,-0.03832868202,ERCC-00147,-0.03832868202
19,ERCC-00097,A,0.45776367,0.11444092,4,2,-0.3393586777,ERCC-00097,-0.3393586777
20,ERCC-00156,A,0.45776367,0.11444092,4,2,-0.3393586777,ERCC-00156,-0.3393586777
21,ERCC-00123,A,0.22888184,0.05722046,4,2,-0.6403886639,ERCC-00123,-0.6403886639
22,ERCC-00017,A,0.11444092,0.02861023,4,2,-0.9414186595,ERCC-00017,-0.9414186595
23,ERCC-00083,A,0.02861023,0.00715256,4,2,-1.543478651,ERCC-00083,-1.543478651
24,ERCC-00096,B,15000,15000,1,0,4.176091259,ERCC-00096,4.176091259
25,ERCC-00171,B,3750,3750,1,0,3.574031268,ERCC-00171,3.574031268
26,ERCC-00009,B,937.5,937.5,1,0,2.971971276,ERCC-00009,2.971971276
27,ERCC-00042,B,468.75,468.75,1,0,2.670941281,ERCC-00042,2.670941281
28,ERCC-00060,B,234.375,234.375,1,0,2.369911285,ERCC-00060,2.369911285
29,ERCC-00035,B,117.1875,117.1875,1,0,2.068881289,ERCC-00035,2.068881289
30,ERCC-00025,B,58.59375,58.59375,1,0,1.767851294,ERCC-00025,1.767851294
31,ERCC-00051,B,58.59375,58.59375,1,0,1.767851294,ERCC-00051,1.767851294
32,ERCC-00053,B,29.296875,29.296875,1,0,1.466821298,ERCC-00053,1.466821298
33,ERCC-00148,B,14.6484375,14.6484375,1,0,1.165791302,ERCC-00148,1.165791302
34,ERCC-00126,B,14.6484375,14.6484375,1,0,1.165791302,ERCC-00126,1.165791302
35,ERCC-00034,B,7.32421875,7.32421875,1,0,0.8647613068,ERCC-00034,0.8647613068
36,ERCC-00150,B,3.66210938,3.66210938,1,0,0.5637313117,ERCC-00150,0.5637313117
37,ERCC-00067,B,3.66210938,3.66210938,1,0,0.5637313117,ERCC-00067,0.5637313117
38,ERCC-00031,B,1.83105469,1.83105469,1,0,0.262701316,ERCC-00031,0.262701316
39,ERCC-00109,B,0.91552734,0.91552734,1,0,-0.03832868202,ERCC-00109,-0.03832868202
40,ERCC-00073,B,0.91552734,0.91552734,1,0,-0.03832868202,ERCC-00073,-0.03832868202
41,ERCC-00158,B,0.45776367,0.45776367,1,0,-0.3393586777,ERCC-00158,-0.3393586777
42,ERCC-00104,B,0.22888184,0.22888184,1,0,-0.6403886639,ERCC-00104,-0.6403886639
43,ERCC-00142,B,0.22888184,0.22888184,1,0,-0.6403886639,ERCC-00142,-0.6403886639
44,ERCC-00138,B,0.11444092,0.11444092,1,0,-0.9414186595,ERCC-00138,-0.9414186595
45,ERCC-00117,B,0.05722046,0.05722046,1,0,-1.242448655,ERCC-00117,-1.242448655
46,ERCC-00075,B,0.01430512,0.01430512,1,0,-1.844508495,ERCC-00075,-1.844508495
47,ERCC-00074,C,15000,22500,0.67,-0.58,4.176091259,ERCC-00074,4.176091259
48,ERCC-00113,C,3750,5625,0.67,-0.58,3.574031268,ERCC-00113,3.574031268
49,ERCC-00145,C,937.5,1406.25,0.67,-0.58,2.971971276,ERCC-00145,2.971971276
